Date,EUtranCell,PSData,Users,Vendor,region,PID
2019-01-06,LM1043018F1A,43.28,53.597,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-06,LM1043018F1B,4.75,6.221,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-07,LM0136008F1A,1.62,2.7,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-07,LM0136008F1B,1.41,1.648,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-07,LM0136018F1C,7.06,9.728,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-07,LM0140008F1B,3.46,2.082,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-07,LM0145008F1A,1.15,1.503,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-07,LM0145018F1A,3.26,4.207,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-07,LM0145018F1B,1.62,3.175,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-07,LM0145018F1C,1.08,2.102,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-07,LM0145026F1B,3.56,5.2,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-07,LM0150008F1C,8.52,9.499,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-07,LM0151008F1A,1.22,0.858,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-07,LM0151008F1B,0.16,0.5,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-07,LM0151018F1A,13.4,14.368,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-07,LM0151018F1B,9.12,10.004,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-07,LM0151018F1C,20.36,20.664,Huawei,SQU (Sultan Qaboos University),M0151
2019-01-07,LM0387008F1A,1.58,1.854,Huawei, Royal Hospital (IBS),M0387
2019-01-07,LM0387008F1C,0.53,0.508,Huawei, Royal Hospital (IBS),M0387
2019-01-07,LM0387018F1B,65.41,65.2,Huawei, Royal Hospital (IBS),M0387
2019-01-07,LM1043018F1A,45.72,54.88,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-07,LM1043018F1B,5.31,6.48,Huawei,SQU (Sultan Qaboos University),M1043
2019-01-08,LM0136008F1A,1.79,2.358,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-08,LM0136008F1B,1.32,1.233,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-08,LM0136018F1C,8.51,9.798,Huawei,SQU (Sultan Qaboos University),M0136
2019-01-08,LM0140008F1B,1.18,2.214,Huawei,SQU (Sultan Qaboos University),M0140
2019-01-08,LM0145008F1A,0.86,1.766,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-08,LM0145018F1A,2.35,4.5,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-08,LM0145018F1B,2.43,3.225,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-08,LM0145018F1C,1.91,2.354,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-08,LM0145026F1B,5.34,5.393,Huawei,SQU (Sultan Qaboos University),M0145
2019-01-08,LM0150008F1C,8.3,7.291,Huawei,SQU (Sultan Qaboos University),M0150
2019-01-08,LM0151008F1A,1.06,0.876,Huawei,SQU (Sultan Qaboos University),M0151
